Estimating the likelihood of failure,,,,,,,,,,,,,,,,,,,,,,,
Approach 1: Using a corporate bond rating,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Default Probabilities over time (1 - 10 year time horizons),,,,,,,,,,,,,,,,,,,,,,,
Rating,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,
AAA,0,0.0003,0.0013,0.0024,0.0034999999999999996,0.0045000000000000005,0.0051,0.0059,0.0064,0.006999999999999999,,,,,,,,,,,,,
AA,0.0002,0.0006,0.0012,0.0021,0.0031,0.0042,0.005,0.0058,0.006500000000000001,0.0072,,,,,,,,,,,,,
A,0.0005,0.0014000000000000002,0.0023,0.0034999999999999996,0.004699999999999999,0.0062,0.0079,0.009300000000000001,0.0108,0.0124,,,,,,,,,,,,,
BBB,0.0016,0.0045000000000000005,0.0078000000000000005,0.011699999999999999,0.0158,0.019799999999999998,0.0233,0.026699999999999998,0.03,0.0332,,,,,,,,,,,,,
BB,0.0060999999999999995,0.0192,0.0348,0.050499999999999996,0.0652,0.0785,0.0901,0.10039999999999999,0.1097,0.11779999999999999,,,,,,,,,,,,,
B,0.0333,0.0771,0.1155,0.1458,0.1693,0.1883,0.2036,0.21600000000000003,0.22699999999999998,0.23739999999999997,,,,,,,,,,,,,
CCC/C,0.2708,0.3664,0.41409999999999997,0.441,0.4619,0.47090000000000004,0.4826,0.4905,0.4976,0.5038,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Thus, if you use the 10-year likelihood of failure, the chance of failure for a BB rated firm is 11.78%.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Approach 2: Using corporate age (for young companies),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Survial Rate Data from Bureau of Labor Statistics (2022),,,,,,,,,
,,Agriculture,Mining,Utilities,Construction,Manufacturing,Retail,Transportation,Information,Health Care,All Sectors,,,Agriculture,Mining,Utilities,Construction,Manufacturing,Retail,Transportation,Information,Health Care,All Sectors
Failure Rate given age,0,=1-O28,=1-P28,=1-Q28,=1-R28,=1-S28,=1-T28,=1-U28,=1-V28,=1-W28,=1-X28,,1,0.823,0.818,0.84,0.743,0.828,0.831,0.769,0.752,0.8140000000000001,0.7829999999999999
,1,=O19-O$28,=P19-P$28,=Q19-Q$28,=R19-R$28,=S19-S$28,=T19-T$28,=U19-U$28,=V19-V$28,=W19-W$28,=X19-X$28,,2,0.748,0.7120000000000001,0.735,0.598,0.7240000000000001,0.7240000000000001,0.636,0.627,0.722,0.662
,2,=O20-O$28,=P20-P$28,=Q20-Q$28,=R20-R$28,=S20-S$28,=T20-T$28,=U20-U$28,=V20-V$28,=W20-W$28,=X20-X$28,,3,0.6609999999999999,0.629,0.67,0.456,0.622,0.631,0.523,0.5329999999999999,0.674,0.5660000000000001
,3,=O21-O$28,=P21-P$28,=Q21-Q$28,=R21-R$28,=S21-S$28,=T21-T$28,=U21-U$28,=V21-V$28,=W21-W$28,=X21-X$28,,4,0.612,0.5379999999999999,0.629,0.371,0.541,0.565,0.45,0.46399999999999997,0.613,0.498
,4,=O22-O$28,=P22-P$28,=Q22-Q$28,=R22-R$28,=S22-S$28,=T22-T$28,=U22-U$28,=V22-V$28,=W22-W$28,=X22-X$28,,5,0.574,0.512,0.565,0.332,0.494,0.521,0.41100000000000003,0.419,0.5589999999999999,0.45399999999999996
,5,=O23-O$28,=P23-P$28,=Q23-Q$28,=R23-R$28,=S23-S$28,=T23-T$28,=U23-U$28,=V23-V$28,=W23-W$28,=X23-X$28,,6,0.541,0.47200000000000003,0.556,0.306,0.46299999999999997,0.485,0.377,0.37200000000000005,0.5479999999999999,0.423
,6,=O24-O$28,=P24-P$28,=Q24-Q$28,=R24-R$28,=S24-S$28,=T24-T$28,=U24-U$28,=V24-V$28,=W24-W$28,=X24-X$28,,7,0.516,0.429,0.516,0.284,0.43799999999999994,0.457,0.349,0.34,0.529,0.396
,7,=O25-O$28,=P25-P$28,=Q25-Q$28,=R25-R$28,=S25-S$28,=T25-T$28,=U25-U$28,=V25-V$28,=W25-W$28,=X25-X$28,,8,0.495,0.405,0.503,0.271,0.415,0.433,0.324,0.314,0.484,0.371
,8,=O26-O$28,=P26-P$28,=Q26-Q$28,=R26-R$28,=S26-S$28,=T26-T$28,=U26-U$28,=V26-V$28,=W26-W$28,=X26-X$28,,9,0.465,0.371,0.47600000000000003,0.258,0.4,0.41,0.305,0.27399999999999997,0.455,0.348
,9,=O27-O$28,=P27-P$28,=Q27-Q$28,=R27-R$28,=S27-S$28,=T27-T$28,=U27-U$28,=V27-V$28,=W27-W$28,=X27-X$28,,10,0.449,0.32299999999999995,0.449,0.247,0.381,0.39,0.284,0.255,0.425,0.32799999999999996
,10,=O28-O$28,=P28-P$28,=Q28-Q$28,=R28-R$28,=S28-S$28,=T28-T$28,=U28-U$28,=V28-V$28,=W28-W$28,=X28-X$28,,,,,,,,,,,,
Source; Bureau of Labor Statistics,,,,,,,,,,,,,,,,,,,,,,,
"Thus, if you are valuing a technology firm that is 6 years old, the chance of failure is 11.70%.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Factors to consider,,,,,,,,,,,,,,,,,,,,,,,
1. The likelihood of failure decreases for larger firms. ,,,,,,,,,,,,,,,,,,,,,,,
"2. The likelihood of failure decreases with access to capital, and is thus lower for publicly traded firms or firms with multiple high profile VCs",,,,,,,,,,,,,,,,,,,,,,,
