Industry Name,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Advertising,391,0.060678733031674176,0.07893289015217175,0.2231841538480623,0.2467186246978417,1.230922708614235,1.3525261181448878,0.12549692417308733,0.38891117906224903,0.064355,0.23971065900192132,0.10693454331762167,3.226927815858111,1.5597581830598455,11.941457605101096,18.4681983544186,2.5969840766685475,53.67686365127595,-0.025138144517558057,0.017243189100700853,0.0017319182249018413,0.2511407802749644,0.0753565496905051,0.7601358005112615,0.7601358005112615,0.08065983706407705
Aerospace/Defense,289,0.0930956804733728,0.07992361762235553,0.13938187028979593,0.1617728803446455,0.9033832599921977,0.9843030741457368,0.10189382705274173,0.3510101886001401,0.064355,0.17197348630021475,0.09263589013327363,1.8322619807727754,2.2616278665454344,17.9076320802759,27.40985380310172,4.467578985815014,77.14560185913516,0.3880533361795135,0.03540472169202087,0.021536227284770452,0.40167246380722416,0.1414338304779268,0.4495815637111211,0.4495815637111211,0.08359700918676129
Air Transport,155,0.024834959999999982,0.07283278618645271,0.07609043946784132,0.18079322862025005,0.8104034085122015,1.2872127648104188,0.12131033822434785,0.30061794269989933,0.064355,0.5098168184151186,0.08396624392546047,1.1974037614368915,1.416060675493406,8.42106553377959,18.08875694052878,2.4000358145682927,96.63158394397243,-0.02852314543830259,0.09872859043606706,0.03460650247583549,0.3036030119027154,0.19646294458461788,0.2520957459568711,0.2520957459568711,0.07233687669860593
Apparel,1152,0.029902592592592637,0.14639551002807655,0.2131479985821288,0.2530654600393106,0.7794657334292336,0.8327732999954237,0.09218076852970666,0.3272366860839866,0.064355,0.14561415127969835,0.0857562059892889,1.6689116104178512,2.4393038474523547,13.192840233095483,16.125324871999982,3.6292338849372476,42.48821546891322,0.2242806816328672,0.05163412076682679,0.03426756271231745,0.5214723064236175,0.17062717492423174,0.42378359803405474,0.42378359803405474,0.14804138042034035
Auto & Truck,165,0.08132156862745096,0.07559460879664003,0.08616757062954447,0.218811345565262,1.1030216126379664,1.3606863499868866,0.12601999503415945,0.364637234321081,0.064355,0.3560974076196418,0.09825875471904111,1.2339366809197059,1.2010454020784693,9.842284210252915,15.278938923875353,1.6673634307963552,42.26406405869235,0.02127909970655693,0.06066018448661873,0.034611750465439184,0.7038213344566223,0.1450297214555686,0.2655201118429188,0.2655201118429188,0.07738371255941774
Auto Parts,761,0.06871993174061446,0.0501128648978648,0.06951342691934614,0.2407743035732297,1.2090551528976192,1.3055576462563971,0.12248624512503506,0.30389336137361084,0.064355,0.23444226966537232,0.10503766091012318,1.7302940449169677,0.826554824388617,8.553999746202306,15.807321844185415,1.4984185462279607,130.48897980538896,0.11764661032295141,0.053688520658493784,0.03847388809441341,1.161358931096735,0.07578820040942477,0.4165823913292757,0.41658239132927566,0.048274277955413544
Bank (Money Center),607,0.12026280219780221,0.0028364375669561663,0.00038710600933369535,0.18590464159135886,0.42062215883943516,0.8766122259384862,0.09499084368265698,0.2128077921549118,0.058543,0.7442254790211423,0.05683371028896152,0.1591156761958457,6.769919336252972,189.89899252176042,NA,0.8423495689751942,14.729077831666997,NA,0.033254363502624444,0.050798671170112115,19.575019416478437,0.1265430638481194,0.3069542161513744,0.3069542161513744,0.0031046482550396875
Banks (Regional),881,0.08400441828254843,-0.00010767472807027957,-0.0001474165996108738,0.19178309540764643,0.28391223862464154,0.5230836051597125,0.07232965909073757,0.18295557375623153,0.058543,0.7175653123942995,0.05180029726907669,0.17196644382490733,5.837120237502678,NA,NA,0.7449859762005425,28.980754193617027,NA,0.02958498139413369,-0.04266256265612315,NA,0.09826683499231499,0.29089509088479176,0.2908950908847918,-0.0010386505223670638
Beverage (Alcoholic),220,0.08247847457627114,0.21689011757613919,0.16067497723977517,0.2194506824475854,0.6865821100681192,0.7455633619248502,0.08659061149938291,0.2748939825628717,0.064355,0.15736771820899165,0.08052718649999141,0.8820905961381764,3.645519486097814,13.890019429473544,16.682460386274567,3.1761893485945167,49.8061446842652,0.10799586197824754,0.05108051295184851,0.029178936196543638,0.39674912424489117,0.16528003825197396,0.4461456976706301,0.44614569767063017,0.2173706332558427
Beverage (Soft),100,0.13106444444444448,0.16712851609847534,0.2608297340208955,0.20408115504017893,0.6563336098512859,0.7071161596851042,0.08412614583581518,0.3223807318866916,0.064355,0.14148944903633834,0.07902321116032845,1.7627547191775153,3.5378584257458034,17.269454444972254,21.06683164363447,6.221247733454318,34.11006197729769,-0.046222997524781595,0.046679170313504,0.02269315879940046,0.28353809683457815,0.25763420811932436,0.631087930406666,0.631087930406666,0.16780765336144984
Broadcasting,130,0.04030675925925924,0.09912960810652863,0.08815285332158262,0.25292769638038864,0.6637382391378946,0.9819685709875663,0.101744185400303,0.31539632930060435,0.064355,0.46662626831965837,0.07669388081982717,1.048262275637724,1.1859945658791722,7.870578150057497,11.666819517509959,0.7470920120100536,45.3362314766247,0.12358975266083903,0.03768812298249833,-0.0027459630890185483,1.5367973063044447,-0.0035567526500278465,0.004708516540728868,0.004708516540728902,0.09876314296512266
Brokerage & Investment Banking,590,0.10416122249388747,0.011775589724179561,0.0018058244106970507,0.1895973460883673,0.39976610514833727,0.9286781655866341,0.09832827041410325,0.3195173390050282,0.064355,0.7123160909430237,0.06252159620151493,0.18374812093580103,6.822798379397698,189.17464263492164,NA,1.2584232975164993,115.17713682796493,NA,0.03214726780705562,0.017840380622725385,8.460207121086022,0.07664517748653683,0.5963023526064825,0.5963023526064825,0.01134704485330971
Building Materials,457,0.06034177966101692,0.10639298425330167,0.1673029038037701,0.2283837221122689,0.9404913910737808,1.0314797894224854,0.10491785450198132,0.2800130376053482,0.064355,0.17800859680469794,0.09479672349945735,1.843429570155149,1.7142682425921862,11.505961873812181,15.690307278203443,2.8207400308199984,28.790076883849167,0.1748929917996949,0.04351105995778941,0.051551982456434185,0.6799932681628228,0.1338814752703728,0.38887233845093194,0.38887233845093194,0.10786546811677492
Business & Consumer Services,980,0.0747518865030675,0.09154535040510714,0.21051840184826337,0.2471200523511016,0.9640724752866636,1.0420886881980238,0.10559788491349333,0.3330640976941999,0.064355,0.16018506974822777,0.09638122510357179,2.715334288051403,2.0557335896830167,15.444300197282384,21.523989925145592,4.425380484914039,215.34905421682564,0.10538724930811741,0.027100047299620268,0.014473205088458603,0.3041621919138275,0.13588911707732615,0.5437955896475363,0.5437955896475363,0.09307970415006403
Cable TV,48,0.041942682926829275,0.18608743617896145,0.12004314941711697,0.2500354333947001,0.6075774591759452,1.021143501777062,0.10425529846390968,0.3091067406758942,0.064355,0.49229680226199307,0.07659068730916456,0.7593723043146429,2.5412604191516603,7.875476369514113,13.842133335680826,1.867922154373058,34.87596597057485,0.007530629820232445,0.14155246221551376,0.014127987573296625,0.1802528247348732,0.1588258209350195,0.2472674887044122,0.24726748870441217,0.18267772317044453
Chemical (Basic),888,0.08587208708708725,0.04654223591776663,0.04639005089702379,0.1989867937354632,0.9019272865434659,1.0727320656318426,0.10756212540700112,0.2887733872844873,0.064355,0.30060028166786384,0.08967586413830847,1.142331199467976,1.3267680881060941,12.70958051084601,26.90677406929441,1.4647625666630506,113.95451115517623,0.13109121704272,0.09340874194022346,0.06648192201506159,1.945903280402447,0.038401073053239365,1.4179036744594131,1.4179036744594131,0.04704576874190067
Chemical (Diversified),64,0.08104345454545456,0.0662386012353452,0.054454418663555146,0.22367776062870598,0.8463670076042942,1.0926752561445323,0.10884048391886453,0.2236285736387566,0.058543,0.3577601691273466,0.08554293723860608,1.0817263319048778,1.0157982256985354,7.980261546645114,14.423533988163413,1.1205497743065969,82.9914539334953,0.1932783817991698,0.0725779211832236,0.02999193005123553,0.4901686958441055,0.029144222762520315,1.7073693515687172,1.7073693515687172,0.06528829722994219
Chemical (Specialty),949,0.09484867187499998,0.11947289608979784,0.12380681994346789,0.2088836095470917,0.9409530206448732,1.0268135146120057,0.10461874628662957,0.3121796391835974,0.064355,0.17874753360855905,0.09450906601062783,1.2093762157449228,2.2521789021943563,12.46623304629337,18.488180723537518,2.4503177323688616,46.3496903380483,0.18241924623939812,0.08833111633006872,0.06737714083011986,0.7886187208447886,0.12070412277404138,0.517197624307738,0.517197624307738,0.11942987979894938
Coal & Related Energy,215,0.14781403669724769,0.24031355444243957,0.322209335583537,0.22559346242492312,1.0773641639143707,1.0062570197628316,0.10330107496679751,0.5042147298228631,0.067024,0.16520601635212573,0.0945042590589013,1.4921479319729078,1.3071148054536077,4.071193117211346,5.173591267456976,1.5046538096423798,25.295557069036455,-0.030186938808872184,0.0904879921874929,0.05122327606808048,0.24945089536313977,0.2136253482938942,0.7643344174950243,0.7643344174950243,0.24079230474275254
Computer Services,1164,0.10303601552393266,0.07557906617878252,0.21094949668920462,0.23628691375717017,1.0014532086275136,1.041484274226574,0.10555914197792339,0.3289536292318077,0.064355,0.12391040167313519,0.0984344391074444,3.2861205177683654,1.5245898873969417,14.677564171647024,19.463101367592564,3.998187265866603,64.47124345561163,0.15358638268892338,0.015317632718716554,0.011342015868972452,0.27663520093905836,0.16017730806734784,0.5307109222033554,0.5307109222033554,0.07681953889911759
Computers/Peripherals,338,0.005776498054474725,0.11390914392035238,0.1574768445956785,0.15096534785349103,1.2534021480264688,1.2665979213694365,0.11998892675978089,0.32935741174104016,0.064355,0.07029824234814774,0.11493247170822773,1.6364958004251184,3.0481583211129673,18.661505715430856,26.442662992327314,6.798948105569134,54.682422056511946,0.020955925405337854,0.0568499320658307,0.034593624971602135,0.38943365679267344,0.28447577234191745,0.24867757226688195,0.24867757226688192,0.11013239847595385
Construction Supplies,793,0.0957569154228855,0.08854238001268122,0.09335125538795638,0.2261320771632339,0.8765233217556566,1.0171432230729893,0.10399888059897862,0.2848026297975704,0.064355,0.28272755951113976,0.08818350618189803,1.2315279663731877,1.356071618713427,9.961896552312256,14.794651131796325,1.6048717436646578,70.31254894973388,0.16378923364761214,0.052092175075610876,0.02785872969085414,0.7756509803954151,0.1014701174588533,0.401042876869769,0.401042876869769,0.08957676764777435
Diversified,326,0.08091493975903613,0.15638955743055627,0.11943531860178906,0.17383650907577258,0.7447055221431189,0.9535674979014122,0.09992367661548052,0.2713903517710711,0.064355,0.3400614823470112,0.08228694464495964,0.8544472236675219,1.8308485319739551,8.931834240315368,11.141035054865844,1.2240143580285003,18.17107919610741,-0.09452790124570301,0.048969042848116186,0.03612372317675373,0.3708958339722381,0.13097599742002441,0.20065345310626245,0.20065345310626248,0.1623363593703387
