,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Advertising,391,-0.0227,0.07930000000000001,0.207,-0.05163398692810457,0.03511904761904762,0.09870828848223898,1.39654463183875,3.16931982633864,6.793893129770994,0.09836891315438587,0.1051764252570819,0.1073344164058349,0.6440464534599691,1.203144563302701,1.825686817107774,0.00872595906050147,0.09155285786545272,0.2810652842279661
Aerospace/Defense,289,0.00268,0.0613,0.167,-0.06331694441331505,0.05947497949138638,0.1221449851042701,0.5795037109228578,1.216206735294645,2.17357310398749,0.07927123819983303,0.08585980694651799,0.08888428965230953,0.5067993389789744,0.9259121818896379,1.42046891056622,0.0117500141908384,0.09774436090225563,0.2356830085000429
Air Transport,155,0.09210000000000002,0.188,0.311,-0.03366526235158943,0.08642601461539179,0.1535580524344569,0.4822614953489223,0.9818234110288968,2.158664666166542,0.07548634270861693,0.08078841968038647,0.09511090422332963,0.7784964479395179,1.240713233739075,1.676291875264336,0.1536317467816228,0.4367579355464017,0.626528890763391
Apparel,1152,-0.0119,0.0803,0.205,-0.02992366421898226,0.03884180790960452,0.09127939270505461,0.6410073787071592,1.214144230063825,1.832142949870966,0.0809939896693336,0.09623882839362224,0.09922870004892297,0.3133717668461348,0.7884320972122296,1.304485262547038,0.05959352394075094,0.2344753747323341,0.5126404494382022
Auto & Truck,165,0.0434,0.153,0.243,-0.2543810062182024,0.03224978614200171,0.08524744698340553,0.5915638270621842,1.367272194550249,2.877554177724357,0.085515379882285,0.09358829244066104,0.09926696977187735,0.8500670587943352,1.391400674129436,1.824495963419501,0.01284736332093401,0.1307709829343942,0.3792389746855596
Auto Parts,761,0.0775,0.133,0.217,0.0179178655506147,0.047520184544406,0.0872669575565252,1.004318322023442,1.601700366848063,2.360748843079512,0.09775278367129892,0.1035398625191708,0.1058675598881899,0.833431933229425,1.232626377077593,1.70321829415326,0.04628786893771941,0.1815564473913802,0.4199553239017125
Bank (Money Center),607,0.0823,0.142,0.239,0,0,0,0.1483223367588072,0.2530231896429079,0.4725059274120008,0.06105718460287066,0.07035018296351489,0.09308708232295936,0.2622764322642789,0.8358118490036747,1.321703224628091,0.2481650466177346,0.5234223734713223,0.719745038947034
Banks (Regional),881,0.0444,0.0913,0.154,0,0,0.00117627026018016,0.1858490566037736,0.362459025986885,0.6402620680009354,0.04881219951969602,0.05069093326920979,0.0522633419173839,0.2057687656370838,0.4418342101687323,0.7575596408822887,0.1392448709790364,0.4039039106036102,0.6485657379990399
Beverage (Alcoholic),220,0.0462,0.104,0.18,0.01880790611488573,0.08407341622261692,0.1927631757142083,0.5973506623344162,1.099201909916441,2.206418672501824,0.07059025425896753,0.0776350085073308,0.0922964280727263,0.3346210148305092,0.7149946961782315,1.081841713380472,0.001598531373609064,0.06227857542420288,0.2591483387927001
Beverage (Soft),100,0.0394,0.09910000000000001,0.161,-0.1572953054607621,0.06918622371228283,0.1248161378440849,1.220314307281951,1.807893543430733,2.881905298759865,0.06898751822706016,0.07466314824788337,0.08454127816338909,0.227864792957012,0.6004673207561629,0.9609438041442201,0.006932361844365274,0.0690209976908333,0.3184342766463898
Broadcasting,130,-0.00195,0.0452,0.09119999999999999,-0.02509316770186336,0.05338686784732209,0.1227557411273486,0.6200668292242392,0.9797083069118581,1.749002761583308,0.0736719858968715,0.07710504889471813,0.09098039049624033,0.5050759990877971,1.021566703669367,1.5082100492417,0.0409794252678116,0.2767555555555556,0.5826664199589694
Brokerage & Investment Banking,590,-0.038,0.0722,0.253,0,0,0,0.07491010787055533,0.2205646454924607,0.8392701634213502,0.05916207485232679,0.06731664696098894,0.07001629460600559,0.3493481690300868,0.9118862151101015,1.454565665453819,0.007225433526011561,0.1421616358325219,0.535271943995692
Building Materials,457,0.0197,0.0913,0.169,0.01153122058362096,0.06788685524126456,0.1223618090452261,0.9046011234230639,1.418824163969795,2.280118057418836,0.08405588120214819,0.08974609846798184,0.1067230932795727,0.5036193196570941,0.9747940732489032,1.462454217342408,0.05630630630630631,0.1734767025089606,0.3712599755647405
Business & Consumer Services,980,0.0259,0.08800000000000001,0.184,0,0.05699241133653399,0.1200980392156863,0.9391323659919348,2.388369678089305,5.518857363443352,0.08255148945638,0.08992796166352335,0.09248008788523542,0.5221486638994687,0.9899478226686172,1.459764269339867,0.01296590447342174,0.1105722599418041,0.305747072235142
Cable TV,48,-0.0407,0.00434,0.0434,-0.009173715029277815,0.04754207473614148,0.2113321412606169,0.3379001381352765,0.6496518731108288,1.159479251423922,0.06739569145758198,0.07187675324991656,0.08505900102119285,0.633084545543681,1.077758748701366,1.35366209359659,0.03418422560315743,0.379735935706085,0.6462093862815883
Chemical (Basic),888,0.0449,0.12,0.224,-0.001032702237521515,0.05159474671669794,0.1098272888882098,0.7778878089316388,1.202037780335139,1.77456848925062,0.08617527129200236,0.08908717075301946,0.105663611238849,0.6177338525468948,1.046070122202205,1.486573104131997,0.02782797253342971,0.1499659168370825,0.3632183908045977
Chemical (Diversified),64,0.0566,0.12,0.184,0.02850809957845308,0.07044177926218308,0.134965034965035,0.9055361525391733,1.201374294316692,1.638636363636364,0.07950987790559788,0.08417924803381006,0.1037641729694857,0.6993101230345485,1.125450608340361,1.366194871117592,0.1152705328832975,0.2523215812603154,0.450165689523324
Chemical (Specialty),949,0.0382,0.114,0.211,0.00247787610619469,0.06483790523690773,0.1321167883211679,0.6829360575104048,1.12908899050299,1.641500882591479,0.08607563438672819,0.09045321240604182,0.1095815593154258,0.5586488007229141,0.9824680873781174,1.424573869727302,0.02294739979138728,0.1187143597719025,0.2811981486333072
