,,Input cell,,Calculated cell,,,,,,,,,
,,,,,,,,,,,,,
Date of valuation,Mon Feb 05 2024 13:30:00 GMT+0530 (India Standard Time),"Important: Before you run this spreadsheet, go into preferences in Excel and check under Calculation options",,,,,,,,,,,
Company name,Amazon,"There should be a check against the iteration box. If there is not, you will get circular reasoning errors.",,,,,,,,,,,
"Numbers from your base year below ( in consistent units, i.e., if you enter numbers in millions, stay with millions all the way through, including on share count.",,,,,,,,,,,,,
"If you don't understand an input, turn on comemnts and you should see my suggestions on that input.",,,,,,,,,,,,,
Country of incorporation,United States,,,,"If you want a guide through this spreadsheet, try this YouTube video that takes you through each input cell: https://youtu.be/kyKfJ_7-mdg?si=FIeHhnLH2_2brag3 ",,,,,,,,
Industry (US),Retail (General),,,,,,,,,,,,
Industry (Global),Retail (General),,,,,,,,,,,,
,Most Recent 12 months,Last 10K before LTM,Years since last 10K,,,,,,,,,,
Revenues,574785,513983,1,,,,,,,,,,
Operating income or EBIT,36852,12248,,,,,,,,,,,
Interest expense,3182,2367,,,,,,,,,,,
Book value of equity,201875,146043,,,,,,,,,,,
Book value of debt,58461,169938,,,,,,,,,,,
Do you have R&D expenses to capitalize?,Yes,"If you want to capitalize R&D, you have to input the numbers into the R&D worksheet. ",,,,,,,,,,,
Do you have operating lease commitments?,Yes,"If you lease or other contractual commitments that have not been converteed to debt already, say yes to this option and do the conversion.",,,,,,,,,,,
Cash and Marketable Securities,86780,70026,,,,,,,,,,,
Cross holdings and other non-operating assets,0,2815,,,,,,,,,,,
Minority interests,0,0,,,,,,,,,,,
Number of shares outstanding =,10492,,,"Computed numbers: Here is what your company's numbers look like, relative to industry.",,,,,,,,,
Current stock price =,169,,,"If you are not working in US dollars, you should add the inflation differential to the industry averages.",,,,,,,,,
Effective tax rate =,0.0,,,,,,,,Industry (US),Industry (Global),Global Distribution Stats,,
Marginal tax rate =,0.25,,,,,,,Company,Average,Average,1st Quartile,Median,3rd Quartile
The value drivers below:,,,,Revenue growth in the most recent year =,,,,"=IF(C11>0,(B11/C11)^(1/D11)-1, ""NA"")","=VLOOKUP(B8,'Industry Averages(US)'!A2:S95,3)","=VLOOKUP(B9,'Industry Average Beta (Global)'!A2:N95,3)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,3,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,4,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,5,FALSE)"
Revenue growth rate for next year ,0.12,Growth Lever - Next year,,Pre-tax operating margin in the most recent year =,,,,='Valuation output'!B4,"=VLOOKUP(B8,'Industry Averages(US)'!A2:AA95,4)","=VLOOKUP(B9,'Industry Average Beta (Global)'!A2:N95,4)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,6,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,7,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,8,FALSE)"
Operating Margin for next year,=I26,Profitability Lever - Next year,,Sales to capital ratio in most recent year =,,,,=B11/'Valuation output'!B39,"=VLOOKUP(B8,'Industry Averages(US)'!A2:S95,14)","=VLOOKUP(B9,'Industry Average Beta (Global)'!A2:N95,14)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,9,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,10,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,11,FALSE)"
Compounded annual revenue growth rate - years 2-5 =,=B26,Growth Lever - Long term,,Marginal sales to capital ratio  =,,,,"=IF(('Input sheet'!B11-'Input sheet'!C11)/(('Input sheet'!B14+'Input sheet'!B15-'Input sheet'!B18)-('Input sheet'!C14+'Input sheet'!C15-'Input sheet'!C18))>0,('Input sheet'!B11-'Input sheet'!C11)/(('Input sheet'!B14+'Input sheet'!B15-'Input sheet'!B18)-('Input sheet'!C14+'Input sheet'!C15-'Input sheet'!C18)),""NA"")",,,,,
Target pre-tax operating margin =,0.14,Profitability Lever - Long term,,Return on invested capital in most recent year=,,,,='Valuation output'!B7/'Valuation output'!B39,"=VLOOKUP(B8,'Industry Averages(US)'!A2:S95,5)","=VLOOKUP(B9,'Industry Average Beta (Global)'!A2:N95,5)",,,
Year of convergence for margin,5,Speed of convergence level,,Standard deviation in stock prices =,,,,,"=VLOOKUP(B8,'Industry Averages(US)'!A2:S95,10)","=VLOOKUP(B8,'Industry Average Beta (Global)'!A2:Z95,10)",,,
Sales to capital ratio  (for years 1-5),1.5,Efficency of Growth Lever (first 5 years),,Cost of capital =,,,,=B35,"=VLOOKUP(B8,'Industry Averages(US)'!A2:S95,13)","=VLOOKUP(B8,'Industry Average Beta (Global)'!A2:Z95,13)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,12,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,13,FALSE)","=VLOOKUP($B$9,'Input Stat Distributioons'!$A$3:$R$96,14,FALSE)"
Sales to capital ratio (for years 6-10),1.5,Efficency of Growth Lever (years 6-10),,,,,,,,,,,
Market numbers ,,,,"Valuation Output Feedback (for you to use to fine tune your inputs, if you want)",,,,,,,,,
Riskfree rate,0.0408,,,"Revenues in year 10, based on your revenue growth =",,,,,='Valuation output'!M3,,,,
Initial cost of capital =,='Cost of capital worksheet'!B13,Do not input. Go to cost of capital sheet.,,"Pre-tax Operating Income in year 10, based on your operating margin =",,,,,='Valuation output'!M5,,,,
Other inputs,,,,"Return on invested capital in year 10, based on your sales/capital ratio =",,,,,='Valuation output'!L40,,,,
Do you have employee options outstanding?,No,,,Check the Diagnostics worksheet for more details.,,,,,,,,,
Number of options outstanding =,7.72,,,,,,,,,,,,
Average strike price =,1.29,,,,,,,,,,,,
Average maturity =,7,,,,,,,,,,,,
Standard deviation on stock price =,0.45,,,,,,,,,,,,
,,,,,,,,,,,,,
Default assumptions. ,,,,,,,,,,,,,
"In stable growth, I will assume that your firm will have a cost of capital similar to that of typical mature companies (riskfree rate + 4.5%)",,,,,,,,,,,,,
Do you want to override this assumption =,No,Mature companies generally see their risk levels approach the average,,,,,,,,,,,
"If yes, enter the cost of capital after year 10 =",0.08,"Though some sectors, even in stable growth, may have higher risk. If you change your risk free rate after year 10 (see cell B57 & 58), you should incorporate the change into your stable cost of capital estimate.",,,,,,,,,,,
I will assume that your firm will earn a return on capital equal to its cost of capital after year 10. I am assuming that whatever competitive advantages you have today will fade over time.,,,,,,,,,,,,,
Do you want to override this assumption =,No,Mature companies find it difficult to generate returns that exceed the cost of capital,,,,,,,,,,,
"If yes, enter the return on capital you expect after year 10",0.15,But there are significant exceptions among companies with long-lasting competitive advantages.,,,,,,,,,,,
I will assume that your firm has no chance of failure over the foreseeable future.,,,,,,,,,,,,,
