='Input sheet'!B4,,,,,,='Input sheet'!B3,
The Disruption Platform Rolls on,,,,,,,
"Amazon continues on its transformation from online retailer to disruption platform, willling to enter any business that it perceives as inefficiently run, and changing it. Along the way, it  will invest large amounts of capital and wait for long periods to attain profitability. ",,,,,,,"Tell your story about the company. Keep it focuses on the company's businesses and tie it into the three key levers of value: cash flows, growth and risk"
,,,,,,,
,,,,,,,
,,,,,,,
The Assumptions,,,,,,,
,Base year,Next year,Years 2-5,Years 6-10,After year 10,Link to story,
Revenues (a),='Valuation output'!B3,='Input sheet'!B26,='Input sheet'!B28,Changes to,='Valuation output'!M2,Disruption platform in multiple businesses,Tie each assumption to the part of your story that relates to it.
Operating margin (b),='Valuation output'!B4,='Input sheet'!B27,Moves to,='Valuation output'!G4,='Valuation output'!M4,"Margins improve, aided by cloud business & continued economies of scale.",
Tax rate,='Valuation output'!B6,,=B11,Changes to,='Valuation output'!M6,Global/US marginal tax rate over time,
Sales to Capital  (c ),,='Input sheet'!B31,='Input sheet'!B31,='Input sheet'!B32,='Valuation output'!M2/'Valuation output'!M40,Maintained at Amazon's current level,
Return on capital,='Valuation output'!B40,Marginal ROIC =,=Diagnostics!C27,,='Valuation output'!M40,Strong competitive edges,
Cost of capital (d),,,='Valuation output'!C12,,='Valuation output'!M12,Cost of capital close to median company,
The Cash Flows,,,,,,,
,Revenues,Operating Margin,EBIT,EBIT (1-t),Reinvestment ,FCFF,"These are the numbers that come from your assumptions. The revenues over time reflect your revenue growth, the operating margins evolve towards your target margin and your tax rate will change, if you have set it to. The reinvestment is estimated using the sales to capital ratio for the first 10 years and based on a reinvestment rate in stable growth (g/ ROC)."
1,='Valuation output'!C3,='Valuation output'!C4,=B17*C17,='Valuation output'!C7,='Valuation output'!C8,=E17-F17,
2,='Valuation output'!D3,='Valuation output'!D4,=B18*C18,='Valuation output'!D7,='Valuation output'!D8,=E18-F18,
3,='Valuation output'!E3,='Valuation output'!E4,=B19*C19,='Valuation output'!E7,='Valuation output'!E8,=E19-F19,
4,='Valuation output'!F3,='Valuation output'!F4,=B20*C20,='Valuation output'!F7,='Valuation output'!F8,=E20-F20,
5,='Valuation output'!G3,='Valuation output'!G4,=B21*C21,='Valuation output'!G7,='Valuation output'!G8,=E21-F21,
6,='Valuation output'!H3,='Valuation output'!H4,=B22*C22,='Valuation output'!H7,='Valuation output'!H8,=E22-F22,
7,='Valuation output'!I3,='Valuation output'!I4,=B23*C23,='Valuation output'!I7,='Valuation output'!I8,=E23-F23,
8,='Valuation output'!J3,='Valuation output'!J4,=B24*C24,='Valuation output'!J7,='Valuation output'!J8,=E24-F24,
9,='Valuation output'!K3,='Valuation output'!K4,=B25*C25,='Valuation output'!K7,='Valuation output'!K8,=E25-F25,
10,='Valuation output'!L3,='Valuation output'!L4,=B26*C26,='Valuation output'!L7,='Valuation output'!L8,=E26-F26,
Terminal year,='Valuation output'!M3,='Valuation output'!M4,=B27*C27,='Valuation output'!M7,='Valuation output'!M8,=E27-F27,
The Value,,,,,,,
Terminal value,,,='Valuation output'!B18,,,,"This is the output from your valuation. It reflects your cash flows being discounted back at the cost of capital to get to your operating asset value, which then gets adjusted for the likelihood that your firm will not make it. We add cash and non-operating assets, subtract out debt and minority interests to get to value of equity."
PV(Terminal value),,,='Valuation output'!B19,,,,
PV (CF over next 10 years),,,='Valuation output'!B20,,,,
Value of operating assets =,,,='Valuation output'!B21,,,,
Adjustment for distress,,,=D32-'Valuation output'!B24,Probability of failure =,,='Valuation output'!B22,
 - Debt & Minority Interests,,,='Valuation output'!B25+'Valuation output'!B26,,,,
 + Cash & Other Non-operating assets,,,='Valuation output'!B27+'Valuation output'!B28,,,,
Value of equity,,,=D32-D33-D34+D35,,,,
 - Value of equity options,,,='Valuation output'!B30,,,,
Number of shares,,,='Valuation output'!B32,,,,
Value per share,,,=(D36-D37)/D38,Stock was trading at =,,='Input sheet'!B22,
