"If you have negative operating income, this spreadsheet will offer you a D rating. Do not use that rating as your cost of debt for a going concern. Insread give your company a low, but going concern rating like BB and use that cost of debt.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Inputs for synthetic rating estimation,,,,,,,,,,,,,,,,,,,
Please read the special cases worksheet (see below) before you use this spreadsheet.,,,,,,,,,,,,,,,,,,,
"Before you use this spreadsheet, make sure that the iteration box (under calculation options in excel) is checked.",,,,,,,,,,,,,,,,,,,
Enter the type of firm =,,='Cost of capital worksheet'!B36,,,,,,,,,,,,,,,,,
Enter current Earnings before interest and taxes (EBIT) =,,,,,"=IF('Input sheet'!B17=""Yes"",'Input sheet'!B12+'Operating lease converter'!F32,'Input sheet'!B12)",(Add back only long term interest expense for financial firms),,,,,,,,,,,,,
Enter current interest expenses =,,,,,"=IF('Input sheet'!B17=""Yes"",'Cost of capital worksheet'!B31+'Operating lease converter'!C28*'Operating lease converter'!C15,'Cost of capital worksheet'!B31)",(Use only long term interest expense for financial firms),,,,,,,,,,,,,
Enter long term risk free rate  =,,,,,='Input sheet'!B34,,,,,,,,,,,,,,
Output,,,,,,,,,,,,,,,,,,,
Interest  coverage ratio =,,,"=IF(F9=0,1000000,IF(F8<0,-100000,F8/F9))",,,,,,,,,,,,,,,,
Estimated Bond Rating =,,,"=IF(C7=1,VLOOKUP(D12,A22:D36,3),(IF(C7=2,VLOOKUP(D12,A41:D55,3),VLOOKUP(D12,F22:I36,3))))",,"Note: If you get REF! All over the place, set the operating lease commitment question in cell F5",,,,,,,,,,,,,,
Estimated Company Default Spread =,,,"=IF(C7=1,VLOOKUP(D12,A22:D36,4),(IF(C7=2,VLOOKUP(D12,A41:D55,4),VLOOKUP(D12,F22:I36,4))))",,"to No, and then reset it to Yes. It should work.",,,,,,,,,,,,,,
Estimated County Default Spread (if any) =,,,"=VLOOKUP('Input sheet'!B7,'Country equity risk premiums'!A5:C195,3)",,,,,,,,,,,,,,,,
Estimated Cost of Debt =,,,=F10+D14+D15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
" If you want to update the spreads listed below, please visit http://www.bondsonline.com",,,,,,,,,,,,,,,,,,,
For large manufacturing firms,,,,,,,,,Default Probabilities over time (1 - 10 year time horizons),,,,,,,,,,
If interest coverage ratio is,,,,,,,,,Rating,1,2,3,4,5,6,7,8,9,10
>,≤ to,Rating is,Spread is,,,,,,AAA,0,0.0003,0.0013,0.0024,0.0034999999999999996,0.0045000000000000005,0.0051,0.0059,0.0064,0.006999999999999999
-100000,0.199999,D2/D,0.2,,,,,,AA,0.0002,0.0006,0.0012,0.0021,0.0031,0.0042,0.005,0.0058,0.006500000000000001,0.0072
0.2,0.649999,C2/C,0.17,,,,,,A,0.0005,0.0014000000000000002,0.0023,0.0034999999999999996,0.004699999999999999,0.0062,0.0079,0.009300000000000001,0.0108,0.0124
0.65,0.799999,Ca2/CC,0.1178,,,,,,BBB,0.0016,0.0045000000000000005,0.0078000000000000005,0.011699999999999999,0.0158,0.019799999999999998,0.0233,0.026699999999999998,0.03,0.0332
0.8,1.249999,Caa/CCC,0.0851,,,,,,BB,0.0060999999999999995,0.0192,0.0348,0.050499999999999996,0.0652,0.0785,0.0901,0.10039999999999999,0.1097,0.11779999999999999
1.25,1.499999,B3/B-,0.0524,,,,,,B,0.0333,0.0771,0.1155,0.1458,0.1693,0.1883,0.2036,0.21600000000000003,0.22699999999999998,0.23739999999999997
1.5,1.749999,B2/B,0.0361,,,,,,CCC/C,0.2708,0.3664,0.41409999999999997,0.441,0.4619,0.47090000000000004,0.4826,0.4905,0.4976,0.5038
1.75,1.999999,B1/B+,0.0314,,,,,,,,,,,,,,,,
2,2.2499999,Ba2/BB,0.0221,,,,,,,,,,,,,,,,
2.25,2.49999,Ba1/BB+,0.0174,,,,,,,,,,,,,,,,
2.5,2.999999,Baa2/BBB,0.0147,,,,,,,,,,,,,,,,
3,4.249999,A3/A-,0.0121,,,,,,,,,,,,,,,,
4.25,5.499999,A2/A,0.0107,,,,,,,,,,,,,,,,
5.5,6.499999,A1/A+,0.0092,,,,,,,,,,,,,,,,
6.5,8.499999,Aa2/AA,0.007,,,,,,,,,,,,,,,,
8.5,100000,Aaa/AAA,0.0059,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
For smaller and riskier firms,,,,,,,,,,,,,,,,,,,
If interest coverage ratio is,,,,,,,,,,,,,,,,,,,
greater than,≤ to,Rating is,Spread is,,,,,,,,,,,,,,,,
-100000,0.499999,D2/D,0.2,,,Rating is,Spread is,,,,,,,,,,,,
0.5,0.799999,C2/C,0.17,,,A1/A+,0.0092,,,,,,,,,,,,
0.8,1.249999,Ca2/CC,0.1178,,,A2/A,0.0107,,,,,,,,,,,,
1.25,1.499999,Caa/CCC,0.0851,,,A3/A-,0.0121,,,,,,,,,,,,
1.5,1.999999,B3/B-,0.0524,,,Aa2/AA,0.007,,,,,,,,,,,,
2,2.499999,B2/B,0.0361,,,Aaa/AAA,0.0059,,,,,,,,,,,,
2.5,2.999999,B1/B+,0.0314,,,B1/B+,0.0314,,,,,,,,,,,,
3,3.499999,Ba2/BB,0.0221,,,B2/B,0.0361,,,,,,,,,,,,
3.5,3.9999999,Ba1/BB+,0.0174,,,B3/B-,0.0524,,,,,,,,,,,,
4,4.499999,Baa2/BBB,0.0147,,,Ba1/BB+,0.0174,,,,,,,,,,,,
4.5,5.999999,A3/A-,0.0121,,,Ba2/BB,0.0221,,,,,,,,,,,,
6,7.499999,A2/A,0.0107,,,Baa2/BBB,0.0147,,,,,,,,,,,,
7.5,9.499999,A1/A+,0.0092,,,C2/C,0.17,,,,,,,,,,,,
9.5,12.499999,Aa2/AA,0.007,,,Ca2/CC,0.1178,,,,,,,,,,,,
12.5,100000,Aaa/AAA,0.0059,,,Caa/CCC,0.0851,,,,,,,,,,,,
,,,,,,D2/D,0.2,,,,,,,,,,,,
