Mature Market ERP +,0.0433,"Updated January 1, 2025",,,
Changing this number will update all your country equity risk premiums.,,,,,
,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate
Abu Dhabi,Aa2,0.0048889784279692525,=$B$1+E5,0.006591087812100819,0.15
Albania,Ba3,0.035619699975204554,=$B$1+E6,0.048020782631020255,0.15
Algeria,NR,0.029799487560955448,=$B$1+E7,0.04017424952137643,0.15
Andorra (Principality of),Baa1,0.015830977766757577,=$B$1+E8,0.02134257005823122,0.1898
Angola,B3,0.06437154930159515,=$B$1+E9,0.0867826561926608,0.25
Anguilla,NR,0.06012263625836532,=$B$1+E10,0.08105447404039451,0.25228018689443577
Antigua & Barbuda,NR,0.0601,=$B$1+E11,0.08101224772802909,0.2523
Argentina,Ca,0.11884873749896685,=$B$1+E12,0.1602262060989271,0.35
Armenia,Ba3,0.035619699975204554,=$B$1+E13,0.048020782631020255,0.18
Aruba,Baa3,0.021767594429291676,=$B$1+E14,0.029346033830067942,0.25
Australia,Aaa,0,=$B$1+E15,0,0.3
Austria,Aa1,0.003957744441689394,=$B$1+E16,0.005335642514557805,0.24
Azerbaijan,Ba1,0.024794104884701216,=$B$1+E17,0.03342623104708274,0.2
Bahamas,B1,0.04458282709314818,=$B$1+E18,0.06010444361987177,0
Bahrain,B2,0.05447718819737168,=$B$1+E19,0.07344354990626628,0
Bangladesh,B2,0.05447718819737168,=$B$1+E20,0.07344354990626628,0.3
Barbados,B3,0.06437154930159515,=$B$1+E21,0.0867826561926608,0.055
Belarus,C,0.175,=$B$1+E22,0.23592666323069683,0.18
Belgium,Aa3,0.005936616662534093,=$B$1+E23,0.008003463771836711,0.25
Belize,Caa1,0.07426591040581865,=$B$1+E24,0.10012176247905531,0.2853
Benin,B1,0.04458282709314818,=$B$1+E25,0.06010444361987177,0.3
Bermuda,A2,0.00838110587651872,=$B$1+E26,0.011299007677887121,0
Bolivia,Caa3,0.09906001529051987,=$B$1+E27,0.13354799352613805,0.25
Bosnia and Herzegovina,B3,0.06437154930159515,=$B$1+E28,0.0867826561926608,0.1
Botswana,A3,0.011873233325068186,=$B$1+E29,0.016006927543673423,0.22
Brazil,Ba1,0.024794104884701216,=$B$1+E30,0.03342623104708274,0.34
British Virgin Islands,NR,0.06012263625836532,=$B$1+E31,0.08105447404039451,0.25228018689443577
Brunei,NR,0.005936616662534092,=$B$1+E32,0.00800346377183671,0.34
Bulgaria,Baa1,0.015830977766757577,=$B$1+E33,0.02134257005823122,0.1
Burkina Faso,Caa1,0.07426591040581865,=$B$1+E34,0.10012176247905531,0.28
Cambodia,B2,0.05447718819737168,=$B$1+E35,0.07344354990626628,0.2
Cameroon,Caa1,0.07426591040581865,=$B$1+E36,0.10012176247905531,0.33
Canada,Aaa,0,=$B$1+E37,0,0.265
Cape Verde,B2,0.05447718819737168,=$B$1+E38,0.07344354990626628,0
Cayman Islands,Aa3,0.005936616662534093,=$B$1+E39,0.008003463771836711,0
