Industry Name,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Advertising,54,-0.01617666667,0.10900602210262404,0.34913076808783805,0.2927367453879188,1.1961570326525681,1.337294053,0.10370483249489999,0.671856667,0.0641,0.20758669213753542,0.09215681958311851,4.1947708837323034,2.7530320630511635,15.557572543531982,24.270404651523627,6.976657001320543,291.270179,0.03230773802741799,0.018063081232134088,0.007034421163821441,0.16148108503414008,0.11852693534291847,0.8336316717637688,0.8336316717637688,0.11395905036151344
Aerospace/Defense,67,0.08205536585,0.07586463137368067,0.1402535112217883,0.1647887633504989,0.800892578975626,0.901553128,0.0848372504424,0.427424009,0.0553,0.18562455188693347,0.07678815213522051,2.6209631630366763,2.604179873160579,17.237956269633543,28.387133116704323,6.825577021568141,87.41777889,0.3869621222644865,0.027915932425310697,0.007667472862174317,0.6500860604012224,0.11941015141390651,0.5150492697875694,0.5150492697875694,0.07869697574772488
Air Transport,24,0.02636923077,0.055360161881576116,0.08476398601412484,0.22111636379000343,0.7648537512324446,1.236006738,0.09931909175539999,0.652716386,0.0641,0.5165022574610012,0.07285140268219722,1.7451651543788214,1.0222121375517874,7.465027434427947,17.630170815052836,2.941323609021738,17.98192415,0.010803799258014462,0.08793404412682534,0.043650452468515705,0.9954533910534928,0.13271934387774287,0.14499243721351626,0.1449924372135163,0.05504600412176442
Apparel,37,0.0696692,0.08726286645130762,0.1525620938440485,0.184121853974336,0.8267021914205971,0.990568046,0.08869159639179999,0.509263882,0.057800000000000004,0.3145444021629596,0.07442965106162706,1.7344817552293235,1.4137613665587494,9.215376221494438,14.635935947303855,3.1369627319179645,28.05498656,0.2400939518060416,0.02001129176832979,0.0013152379983751258,-0.3375347310393355,0.08466628867065874,0.628372585232684,0.628372585232684,0.09619517534929006
Auto & Truck,34,0.1089522222,0.03131636370641931,0.0315387610798191,0.06298071423761896,1.4333544858587057,1.615412645,0.11574736752849998,0.775911123,0.0641,0.1829797055595927,0.10336469764361451,1.1507770660211856,3.4699548342384703,37.443235392929616,106.52227906952159,6.854351643996245,27.2827678,-0.019121501977945734,0.06805946406906987,0.029960462555513153,0.3134181873627815,0.09265899347806514,0.06926027501209797,0.06926027501209797,0.033115492706239175
Auto Parts,33,0.06489166667,0.05096843215474874,0.08659674993338977,0.21438279380512118,0.9866442740406467,1.225123783,0.09884785980389998,0.526237487,0.057800000000000004,0.3235618549413413,0.08089086934047561,2.4258768506874997,0.7458643658048555,6.527170609141058,13.574320807558516,1.6454719650255853,24.80288893,0.1621414135957554,0.03370373484438911,0.029796679237983886,0.9872478385354112,0.07086849223503966,0.32661617495316425,0.3266161749531642,0.054112154929540655
Bank (Money Center),15,0.05995923077,NA,NA,0.18536212402520527,0.5250203515537631,0.875252876,0.0836984495308,0.304694013,0.0553,0.6468771820719891,0.056385063480957245,0,NA,NA,NA,1.322044786581685,28.04191666,NA,NA,NA,NA,0.11516319967991416,0.3124766097475993,0.3124766097475993,NA
Banks (Regional),591,0.06543041754,NA,NA,0.21077505165572366,0.47508892999890606,0.519260942,0.0682839987886,0.299599934,0.0508,0.37623618749552407,0.056927686161007615,0,NA,NA,NA,1.1291008480787303,18.41235377,NA,NA,NA,NA,0.0680011952391968,0.5548297697973508,0.5548297697973508,NA
Beverage (Alcoholic),18,0.0508625,0.22851540835432294,0.17863486195942435,0.21589979309432705,0.506207020622496,0.610297863,0.07222589746790001,0.630763756,0.057800000000000004,0.23351097343727722,0.06548305854129567,0.8510742188918321,3.300647073395304,11.63038120388939,14.398388419724839,2.696407349039924,44.43103428,0.16418832033027872,0.08652568745816556,0.06208213696143839,0.357085160613112,0.09490713677653632,0.5549730749534877,0.5549730749534877,0.2288389143557621
Beverage (Soft),29,0.16750833329999998,0.20008555306144923,0.3060959745263867,0.19713421347462087,0.5128879692565596,0.567766101,0.0703842721733,0.476702678,0.057800000000000004,0.16479514715168567,0.0659291553123623,1.6739557556528541,4.00109810652223,16.76312416416936,19.86672786217797,7.483916113465137,25.66698037,-0.10319965162205474,0.053396373552860144,0.0282972262332606,0.26994041473158514,0.30605829873016316,0.686947036056462,0.686947036056462,0.20137095743625985
Broadcasting,22,0.018948125,0.1251192337482472,0.12676646580261572,0.2679495890056047,0.4776744420077846,0.917523633,0.08552877330889999,0.52595168,0.057800000000000004,0.599299474915381,0.06025105661230134,1.135134525031125,1.2871011667112966,7.205645787792572,10.263125382797796,1.0157798794125992,45.02351959,0.10428461190725047,0.01890904431602558,-0.02381183757029204,2.0277458422227252,-0.09123594639568328,0.006253124370000001,0.006253124370000029,0.125125408608095
Brokerage & Investment Banking,30,0.22187095240000002,NA,NA,0.2111858517010476,0.47017758016751704,0.952267405,0.0870331786365,0.404908912,0.0553,0.6510651489165336,0.05737183627816109,0,NA,NA,NA,2.107553367614496,29.86793199,NA,NA,NA,NA,0.1311086874362939,0.3715975987050716,0.3715975987050716,NA
