,,Revenue Growth Rate = Last 3 years,,,Pre-tax Operating Margin,,,Sales to Invested Capital,,,Cost of Capital,,,Beta,Debt to Capital Ratio,,,,
Industry Group,count,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,First Quartlie,Median,Third Quartile,median(Beta),First Quartlie,Median,Third Quartile,,
Advertising,417,0.0156,0.0691,0.157,-0.03453947368421053,0.03694427497401345,0.1051159366948841,1.205708661417323,2.965672481710748,6.382022471910113,0.101457612564645,0.1077848942326783,0.1100560452215359,1.090695975879595,0.01532442125855885,0.1050295857988166,0.315249751902084,0.09155285786545272,0.2810652842279661
Aerospace/Defense,300,0.0766,0.148,0.25,-0.04434968017057569,0.06680596340637,0.1338742393509128,0.6856809007860635,1.262120209504658,2.152642971859507,0.08370858269585674,0.08989193315271361,0.09274528150765018,0.9510688233504102,0.009488771256106525,0.07353692374900625,0.2128378378378378,0.09774436090225563,0.2356830085000429
Air Transport,151,0.0544,0.0971,0.144,0.02561537845258934,0.09685341594811739,0.1682291666666667,0.6639400921658986,1.107456678611752,2.124830623306233,0.07969284224728979,0.08586440590183238,0.1002569390867696,1.24355532475262,0.1750368088291699,0.4271086120153892,0.6055812869585482,0.4367579355464017,0.626528890763391
Apparel,1194,0.0215,0.0698,0.135,-0.01725888324873097,0.04076576576576577,0.08798621315176487,0.6521428571428572,1.259373320656487,1.921167387594056,0.08495429204336157,0.09779035796381207,0.1019375734072223,0.6996936296941912,0.05079365079365079,0.2260843765648429,0.5189094107299912,0.2344753747323341,0.5126404494382022
Auto & Truck,162,0.008960000000000001,0.0561,0.183,-0.227202586523624,0.02102153974406314,0.08495968111226923,0.611888111888112,1.317757191773647,2.915119537801365,0.08977339019354219,0.09754930690946662,0.111895887838483,1.427983043714252,0.01849183648722869,0.160300037649512,0.4819505246670988,0.1307709829343942,0.3792389746855596
Auto Parts,780,0.0174,0.05860000000000001,0.181,0.02078257130571879,0.05191441441441442,0.09109267307607884,1.043083900226758,1.611982881597718,2.356597054962077,0.1000781892761156,0.1062405419602088,0.1135535810598545,1.253960620311174,0.04601300891351481,0.1923987442130563,0.444976076555024,0.1815564473913802,0.4199553239017125
Bank (Money Center),621,0.0186,0.05860000000000001,0.116,0,0,0,0.1491833286398198,0.2804228286007067,0.5122923588039867,0.06543905665141708,0.07417162906886267,0.1000637638890302,0.7491171689049244,0.2606709638126173,0.5076020100031077,0.704890658617257,0.5234223734713223,0.719745038947034
Banks (Regional),849,0.012,0.0483,0.103,0,0,0.001050821767673455,0.1527152022156804,0.2954048140043763,0.4848931466470154,0.05491202524696669,0.05651697674081438,0.05832090673185682,0.5108979365760816,0.129245509418616,0.3633292837806369,0.6399301452832695,0.4039039106036102,0.6485657379990399
Beverage (Alcoholic),216,0.0102,0.04940000000000001,0.1,0.01355191256830601,0.08995059338868232,0.1741130091984232,0.586053412462908,1.16471158411141,2.169957413859853,0.0763952987356113,0.08208543244301032,0.09517866655803306,0.7292764715545256,0.003138075313807531,0.07053695264513574,0.2938271604938272,0.06227857542420288,0.2591483387927001
Beverage (Soft),101,0.0326,0.0612,0.121,-0.08970873786407767,0.07810945273631842,0.1376079367995591,1.209404677086246,1.843188287921919,2.898466373715915,0.07421564215721099,0.07932565172123435,0.08836354831506919,0.4294442713313782,0.004554047087128373,0.05412683090579162,0.2550823716877843,0.0690209976908333,0.3184342766463898
Broadcasting,126,-0.00561,0.0165,0.0417,-0.01848126728689967,0.05218840531758583,0.1342235377997219,0.5537899017363027,0.8920127795527156,1.488725457124479,0.07585431628454445,0.08143671370191286,0.09293921734063078,0.9154409361623687,0.0281287927464839,0.2355889724310777,0.6146362098138748,0.2767555555555556,0.5826664199589694
Brokerage & Investment Banking,606,0.0185,0.08259999999999999,0.157,0,0,0,0.09056402470300988,0.2640449438202247,0.9599395313681028,0.06446881587098943,0.07240516125419928,0.07403275386718135,0.8399942239151442,0.008264462809917356,0.1235230934479055,0.5231826433081849,0.1421616358325219,0.535271943995692
Building Materials,462,0.00515,0.0433,0.1,0.01496419148134188,0.06401776234548358,0.1213483146067416,0.8894783377541998,1.375401412973667,2.21868787276342,0.08699761212089249,0.09321560538076921,0.1090872345750292,0.9460925983472226,0.05445335584634868,0.172106824925816,0.383975560932203,0.1734767025089606,0.3712599755647405
Business & Consumer Services,974,0.0259,0.06509999999999999,0.118,-0.001862673676224222,0.05923682616596003,0.1304347826086956,1.016190148122632,2.583050847457627,5.798192771084337,0.08690215301261088,0.09365774727205475,0.09605810938980001,0.9320168951708875,0.01574622145819398,0.1194274988268419,0.3229706390328151,0.1105722599418041,0.305747072235142
Cable TV,45,-0.02,0.0129,0.0326,-0.04848042244817707,0.04015813566375364,0.2024825847361216,0.3052684119532115,0.6857752993037433,1.369561989606533,0.0716271944874324,0.07646232794920187,0.08874840082573207,0.8905053178268506,0.03172010074195086,0.3383438777652759,0.6772972510062516,0.379735935706085,0.6462093862815883
Chemical (Basic),897,0.04019999999999999,0.085,0.157,-0.0001840560679525005,0.04854368932038836,0.1015455950540958,0.738274464389114,1.206098557037844,1.754530477759473,0.08895032145916501,0.09253614151809211,0.1079171103243796,1.17207611158207,0.0255206452389551,0.1722659042172981,0.3816091954022989,0.1499659168370825,0.3632183908045977
Chemical (Diversified),64,0.00965,0.0493,0.09939999999999999,0.04532374100719425,0.07865168539325845,0.1051007869486784,0.868350204609089,1.186671448015061,1.740828694197812,0.08266266778996094,0.08801332285376696,0.1066171485616705,1.029523688746231,0.07648591049017286,0.2505843852267415,0.4853821904849833,0.2523215812603154,0.450165689523324
Chemical (Specialty),951,0.027,0.0848,0.177,0,0.06395348837209303,0.1294843049327354,0.6494565217391303,1.07919492711571,1.658571088414375,0.08955264698190776,0.0937052336776583,0.1107985779148255,1.016562156450707,0.02142588648039093,0.1387002909796314,0.3273273273273273,0.1187143597719025,0.2811981486333072
Coal & Related Energy,216,-0.02,0.0366,0.164,-0.09700214132762312,0.09229466553767994,0.1997054940591043,0,0.6295336787564767,1.4210273643783,0.09272678230376681,0.09490912199103131,0.1157205710770768,1.112655079401575,0.0002850834475199831,0.05479013136815124,0.2661448140900196,0.0551744706233224,0.2618323925314807
Computer Services,1182,0.0291,0.0797,0.143,0.003316831683168317,0.04666666666666666,0.1001683501683502,1.428571428571429,3.073684210526316,6.375377187688593,0.09401546772382438,0.09736065125309958,0.1099440562463375,0.9951989115818127,0.01083707025411061,0.07706650093225606,0.2453738175788774,0.07269527548395832,0.2246674268339035
Computers/Peripherals,342,0.0268,0.07339999999999999,0.213,-0.05116279069767442,0.03363349842413327,0.08521400778210117,0.865561362407641,1.655909640984268,2.989467609291588,0.1046466129455298,0.1085772923609996,0.1104774522621956,1.234262241333496,0.01600177797533059,0.1050779399490176,0.2967976229778805,0.09428129829984543,0.2658627449327959
Construction Supplies,804,0.0144,0.0535,0.125,0.007349397590361446,0.07145514311528417,0.1252873563218391,0.6607058823529413,1.107250755287009,1.7921333680646,0.07943898882980904,0.08333547353244004,0.097346708045557,0.9988863313531698,0.03357314148681055,0.1784591194968553,0.4005263500479662,0.1816526610644258,0.3883037694013304
Diversified,335,0.0129,0.0564,0.09300000000000001,0.02293729372937293,0.09683426443202979,0.1886503067484663,0.2202281852903731,0.6865318012277647,1.66366169480413,0.07733139435579917,0.08552988817025928,0.1007893433303033,0.8178934950919782,0.07401966785000204,0.328422584523232,0.6011273209549072,0.3084745762711865,0.5882079851439183
