R & D Converter,,,,,,
"This spreadsheet converts R&D expenses from operating to capital expenses. It makes the appropriate adjustments to operating income, net",,,,,,
"income, the book value of assets and the book value of equity.",,,,,,
,,,,,,
Inputs,,,,,,
Over how many years do you want to amortize R&D expenses,,,,,3,"! If in doubt, use the lookup table below"
Enter the current year's R&D expense =,,,,,85622,The maximum allowed is ten years
Enter R& D expenses for past years: the number of years that you will need to enter will be determined by the amortization period,,,,,,
Do not input numbers in the first column (Year). It will get automatically updated  based on the input above.,,,,,,
Year,R& D Expenses,,,,,
-1,73213,! Year -1 is the year prior to the most recent 12 months,,,,
"=IF((0-A11)<$F$6,IF(A11>-1,,A11-1),)",56052,! Year -2 is the two years prior to the most recent 12 months,,,,
"=IF((0-A12)<$F$6,IF(A12>-1,,A12-1),)",42740,,,,,
"=IF((0-A13)<$F$6,IF(A13>-1,,A13-1),)",,,,,,
"=IF((0-A14)<$F$6,IF(A14>-1,,A14-1),)",,,,,,
"=IF((0-A15)<$F$6,IF(A15>-1,,A15-1),)",,,,,,
"=IF((0-A16)<$F$6,IF(A16>-1,,A16-1),)",,,,,,
"=IF((0-A17)<$F$6,IF(A17>-1,,A17-1),)",,,,,,
"=IF((0-A18)<$F$6,IF(A18>-1,,A18-1),)",,,,,,
"=IF((0-A19)<$F$6,IF(A19>-1,,A19-1),)",,,,,,
,,,,,,
Output,,,,,,
Year,R&D Expense,Unamortized portion,,Amortization this year,,
Current,=F7,=1,=B24*C24,,,
=A11,=B11,"=IF(A25<0,($F$6+A25)/$F$6,0)",=B25*C25,"=IF(A25<0,B25/$F$6,0)",,
=A12,=B12,"=IF(A26<0,($F$6+A26)/$F$6,0)",=B26*C26,"=IF(A26<0,B26/$F$6,0)",,
=A13,=B13,"=IF(A27<0,($F$6+A27)/$F$6,0)",=B27*C27,"=IF(A27<0,B27/$F$6,0)",,
=A14,=B14,"=IF(A28<0,($F$6+A28)/$F$6,0)",=B28*C28,"=IF(A28<0,B28/$F$6,0)",,
=A15,=B15,"=IF(A29<0,($F$6+A29)/$F$6,0)",=B29*C29,"=IF(A29<0,B29/$F$6,0)",,
=A16,=B16,"=IF(A30<0,($F$6+A30)/$F$6,0)",=B30*C30,"=IF(A30<0,B30/$F$6,0)",,
=A17,=B17,"=IF(A31<0,($F$6+A31)/$F$6,0)",=B31*C31,"=IF(A31<0,B31/$F$6,0)",,
=A18,=B18,"=IF(A32<0,($F$6+A32)/$F$6,0)",=B32*C32,"=IF(A32<0,B32/$F$6,0)",,
=A19,=B19,"=IF(A33<0,($F$6+A33)/$F$6,0)",=B33*C33,"=IF(A33<0,B33/$F$6,0)",,
=A20,=B20,"=IF(A34<0,($F$6+A34)/$F$6,0)",=B34*C34,"=IF(A34<0,B34/$F$6,0)",,
Value of Research Asset =,,,=SUM(D24:D34),=SUM(E25:E34),,
,,,,,,
Amortization of asset for current year =,,,=E35,,,
,,,,,,
Adjustment to Operating Income =,,,=F7-D37,! A positive number indicates an increase in operating income (add to reported EBIT),,
Tax Effect of R&D Expensing,,,=D39*'Input sheet'!B24,,,
,,,,,,
Lookup Table for Amortizable Lives,,,,,,
Industry Name,Amortization Period,,,,,
Advertising,2,,,,,
Aerospace/Defense,10,,,,,
Air Transport,10,,,,,
Aluminum,5,,,,,
Apparel,3,,,,,
Auto & Truck,10,,,,,
Auto Parts (OEM),5,,,,,
Auto Parts (Replacement),5,,,,,
Bank,2,,,,,
Bank (Canadian),2,,,,,
Bank (Foreign),2,,,,,
Bank (Midwest),2,,,,,
Beverage (Alcoholic),3,,,,,
Beverage (Soft Drink),3,,,,,
Building Materials,5,,,,,
Cable TV,10,,,,,
Canadian Energy,10,,,,,
Cement & Aggregates,10,,,,,
Chemical (Basic),10,,,,,
Chemical (Diversified),10,,,,,
Chemical (Specialty),10,,,,,
Coal/Alternate Energy,5,,,,,
Computer & Peripherals,5,,,,,
Computer Software & Svcs,3,,,,,
Copper,5,,,,,
Diversified Co.,5,,,,,
Drug,10,,,,,
Drugstore,3,,,,,
Educational Services,3,,,,,
Electric Util. (Central),10,,,,,
Electric Utility (East),10,,,,,
Electric Utility (West),10,,,,,
Electrical Equipment,10,,,,,
Electronics,5,,,,,
Entertainment,3,,,,,
Environmental,5,,,,,
Financial Services,2,,,,,
Food Processing,3,,,,,
Food Wholesalers,3,,,,,
Foreign Electron/Entertn,5,,,,,
Foreign Telecom.,10,,,,,
Furn./Home Furnishings,3,,,,,
Gold/Silver Mining,5,,,,,
Grocery,2,,,,,
Healthcare Info Systems,3,,,,,
Home Appliance,5,,,,,
Homebuilding,5,,,,,
Hotel/Gaming,3,,,,,
Household Products,3,,,,,
Industrial Services,3,,,,,
Insurance (Diversified),3,,,,,
Insurance (Life),3,,,,,
Insurance (Prop/Casualty),3,,,,,
Internet,3,,,,,
Investment Co. (Domestic),3,,,,,
Investment Co. (Foreign),3,,,,,
Investment Co. (Income),3,,,,,
Machinery,10,,,,,
Manuf. Housing/Rec Veh,5,,,,,
Maritime,10,,,,,
Medical Services,3,,,,,
Medical Supplies,5,,,,,
Metal Fabricating,10,,,,,
Metals & Mining (Div.),5,,,,,
Natural Gas (Distrib.),10,,,,,
Natural Gas (Diversified),10,,,,,
Newspaper,3,,,,,
Office Equip & Supplies,5,,,,,
Oilfield Services/Equip.,5,,,,,
Packaging & Container,5,,,,,
Paper & Forest Products,10,,,,,
Petroleum (Integrated),5,,,,,
Petroleum (Producing),5,,,,,
Precision Instrument,5,,,,,
Publishing,3,,,,,
R.E.I.T.,3,,,,,
Railroad,5,,,,,
Recreation,5,,,,,
Restaurant,2,,,,,
Retail (Special Lines),2,,,,,
Retail Building Supply,2,,,,,
Retail Store,2,,,,,
Securities Brokerage,2,,,,,
Semiconductor,5,,,,,
Semiconductor Cap Equip,5,,,,,
Shoe,3,,,,,
Steel (General),5,,,,,
Steel (Integrated),5,,,,,
Telecom. Equipment,10,,,,,
Telecom. Services,5,,,,,
Textile,5,,,,,
Thrift,2,,,,,
Tire & Rubber,5,,,,,
Tobacco,5,,,,,
Toiletries/Cosmetics,3,,,,,
Trucking/Transp. Leasing,5,,,,,
Utility (Foreign),10,,,,,
Water Utility,10,,,,,
