Industry Name,Cost of Capital (Local Currency)
Advertising,0.1445
Aerospace/Defense,0.15
Air Transport,0.1354
Apparel,0.1061
Auto & Truck,0.1757
Auto Parts,0.1358
Bank (Money Center),0.1261
Banks (Regional),0.1244
Beverage (Alcoholic),0.1273
Beverage (Soft),0.0764
Broadcasting,0.1289
Brokerage & Investment Banking,0.0987
Building Materials,0.1308
Business & Consumer Services,0.1181
Cable TV,0.1268
Chemical (Basic),0.1276
Chemical (Diversified),0.1251
Chemical (Specialty),0.1204
Coal & Related Energy,0.1149
Computer Services,0.1286
Computers/Peripherals,0.1239
Construction Supplies,0.1257
Diversified,0.1404
Drugs (Biotechnology),0.1283
Drugs (Pharmaceutical),0.1294
Education,0.1095
Electrical Equipment,0.1417
Electronics (Consumer & Office),0.1524
Electronics (General),0.1123
Engineering/Construction,0.1342
Entertainment,0.1111
Environmental & Waste Services,0.1542
Farming/Agriculture,0.1159
Financial Svcs. (Non-bank & Insurance),0.0944
Food Processing,0.129
Food Wholesalers,0.1088
Furn/Home Furnishings,0.1129
Green & Renewable Energy,0.1214
Healthcare Products,0.1398
Healthcare Support Services,0.1009
Heathcare Information and Technology,0.1376
Homebuilding,0.0764
Hospitals/Healthcare Facilities,0.1216
Hotel/Gaming,0.1207
Household Products,0.1202
Information Services,0.1518
Insurance (General),0.1083
Insurance (Life),0.1285
Insurance (Prop/Cas.),0.1548
Investments & Asset Management,0.1063
Machinery,0.1277
Metals & Mining,0.1374
Office Equipment & Services,0.1129
Oil/Gas (Integrated),0.1135
Oil/Gas (Production and Exploration),0.112
Oil/Gas Distribution,0.1302
Oilfield Svcs/Equip.,0.1117
Packaging & Container,0.1095
Paper/Forest Products,0.0992
Power,0.1251
Precious Metals,0.1127
Publishing & Newspapers,0.1238
R.E.I.T.,0.0851
Real Estate (Development),0.1204
Real Estate (General/Diversified),0.1373
Real Estate (Operations & Services),0.102
Recreation,0.1067
Reinsurance,0.1726
Restaurant/Dining,0.1063
Retail (Automotive),0.0993
Retail (Building Supply),0.1339
Retail (Distributors),0.1043
Retail (General),0.1558
Retail (Grocery and Food),0.085
Retail (REITs),0.1183
Retail (Special Lines),0.1287
Rubber& Tires,0.1239
Semiconductor,0.1893
Semiconductor Equip,0.2076
Shipbuilding & Marine,0.1213
Shoe,0.0652
Software (Entertainment),0.1412
Software (Internet),0.0682
Software (System & Application),0.1364
Steel,0.1343
Telecom (Wireless),0.147
Telecom. Equipment,0.1403
Telecom. Services,0.1348
Tobacco,0.0891
Transportation,0.1352
Transportation (Railroads),0.1727
Trucking,0.0897
Utility (General),0.0764
Utility (Water),0.186
Total Market,0.1159
Total Market (without financials),0.121
