Mature Market ERP +,0.0411,"Updated July 1, 2024",,,,
Changing this number will update all your country equity risk premiums.,,,,,,
,,,,,,
Country,Moody's rating,Adj. Default Spread,Equity Risk Premium,Country Risk Premium,Corporate Tax Rate,GDP (in $ millions)
Abu Dhabi,Aa2,0.00464452950657079,=$B$1+E5,0.006028815998902777,0.15,299500
Albania,B1,0.04235368573849078,=$B$1+E6,0.05497706018047056,0.15,18916.37886054883
Algeria,NR,0.028309513182907673,=$B$1+E7,0.036747068945693115,0.26,194998.44976908513
Andorra (Principality of),Baa1,0.015039428878419702,=$B$1+E8,0.019521880377399468,0.1898,3330
Angola,B3,0.061152971836515406,=$B$1+E9,0.0793794106522199,0.25,106782.77071461857
Anguilla,NR,0.1054310997313879,=$B$1+E10,0.1875348819700155,0.2724561140242252,NA
Antigua & Barbuda,NR,0.1054310997313879,=$B$1+E11,0.1875348819700155,0.2724561140242252,NA
Argentina,Ca,0.11290630062401852,=$B$1+E12,0.14655764606856517,0.35,631133.3844399444
Armenia,Ba3,0.03383871497644433,=$B$1+E13,0.0439242308491488,0.18,19513.474648242936
Aruba,Baa3,0.020679214707827093,=$B$1+E14,0.026842585518924274,0.25,3544.7077880566426
Australia,Aaa,0,=$B$1+E15,0,0.3,1692956.6468557017
Austria,Aa1,0.0037598572196049255,=$B$1+E16,0.004880470094349867,0.24,470941.92675074114
Azerbaijan,Ba1,0.023554399640466156,=$B$1+E17,0.030574709708721233,0.2,78721.0588235294
Bahamas,B1,0.04235368573849078,=$B$1+E18,0.05497706018047056,0,11210
Bahrain,B2,0.0517533287875031,=$B$1+E19,0.06717823541634524,0,44383.29787234042
Bangladesh,B1,0.04235368573849078,=$B$1+E20,0.05497706018047056,0.3,460201.2655279773
Barbados,B3,0.061152971836515406,=$B$1+E21,0.0793794106522199,0.055,5699.95
Belarus,C,0.175,=$B$1+E22,0.22715816495844784,0.18,72793.45758843666
Belgium,Aa3,0.005639785829407389,=$B$1+E23,0.007320705141524802,0.25,583435.5955799634
Belize,Caa2,0.08470737147698156,=$B$1+E24,0.10995412036094113,0.2853,2830.507575684095
Benin,B1,0.04235368573849078,=$B$1+E25,0.05497706018047056,0.3,17396.7926995489
Bermuda,A2,0.007962050582692785,=$B$1+E26,0.01033511314097619,0,7546
Bolivia,Caa3,0.09410701452599389,=$B$1+E27,0.12215529559681582,0.25,44008.28287796064
Bosnia and Herzegovina,B3,0.061152971836515406,=$B$1+E28,0.0793794106522199,0.1,24473.906673708643
Botswana,A3,0.011279571658814777,=$B$1+E29,0.014641410283049603,0.22,20355.54196285122
Brazil,Ba2,0.028309513182907677,=$B$1+E30,0.03674706894569312,0.34,1920095.7790227288
British Virgin Islands,Ba2,0.032779436317051,=$B$1+E31,0.0440044129483385,0.34,NA
Brunei,NR,0.00563978582940739,=$B$1+E32,0.0073207051415248026,0.185,14010
Bulgaria,Baa1,0.015039428878419702,=$B$1+E33,0.019521880377399468,0.1,90346.16991493486
