Industry Name,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Advertising,417,0.06845644351464436,0.07913067219612407,0.21482336224002138,0.27772030741013054,1.1531366444558786,1.254409764675642,0.11742679756297916,0.47409030355897464,0.0682,0.21907007610000434,0.1028746652029747,3.383463127892816,1.6457239785378095,12.92025260266753,19.470706486361774,2.8478508119646855,83.11145737364957,0.0035044234029197167,0.01726374903867861,0.0004019883057349198,0.19188668826893185,0.06775942528719077,0.8857034224859133,0.8857034224859133,0.080901122750602
Aerospace/Defense,300,0.09738137362637367,0.07974262337171378,0.13729203977947993,0.17428076979295634,0.9590867663115341,1.037195471112474,0.10502386140052226,0.40681270069304865,0.0657,0.15916292005563432,0.09612770442177346,2.5396295766760097,2.4742340513883314,17.81701844239874,27.493400274781134,5.419325740426683,97.71456478973904,0.3692140677291876,0.03612398833244467,0.02590480889773784,0.9898289273191564,0.13402938524886077,0.45591558195131565,0.45591558195131565,0.08261641855121409
Air Transport,151,0.0470309375,0.07844318023938146,0.08850245019032303,0.18327850297384737,0.8505119212104351,1.2946167772204054,0.11972261797928516,0.34980433042159803,0.0657,0.48039790421242834,0.0858102932322039,1.337815041270704,1.314093924202901,8.859743965106361,16.544135959367118,2.3421281268207106,42.00202574687905,-0.029945450543038217,0.09629529883903551,0.03319093699540186,0.5393379365190375,0.2057306858888202,0.2968499633985163,0.2968499633985163,0.07803032980438115
Apparel,1194,0.032728793650793675,0.1420871608461303,0.18859814493129912,0.2519608113798398,0.6944286080738915,0.7505397384113048,0.08865581906328551,0.38575066387969126,0.0657,0.1641661410566406,0.08216709339198781,1.5685523836893338,2.300082542343417,12.737551855791756,15.694507480997327,3.187809316791018,50.66818776166972,0.2301052942513817,0.048569456351802064,0.03638036258163637,0.47113928552253975,0.14562582622166154,0.5234031699562627,0.5234031699562627,0.1436296327436913
Auto & Truck,162,0.12695689320388354,0.0670663972886944,0.07142845891959625,0.23279848887114113,1.2450163798565128,1.5289121782877741,0.1331008853802319,0.47910660285728646,0.0682,0.33160162018624123,0.1058760855053573,1.3255157215079496,1.3688004851918063,12.12555584215913,19.801842238501486,1.9254463546374438,280.71089678234097,0.048572616840444525,0.06622506150063852,0.042017509132913015,0.7704946740114171,0.1159786565805555,0.30537677843928696,0.3053767784392869,0.07007849124700442
Auto Parts,780,0.0755517447495962,0.05268548423262653,0.07937770430239609,0.2258550600098475,1.1857071522127585,1.2988008165300675,0.11996152662386686,0.36388827016804043,0.0657,0.2642591476315824,0.10124376933200797,2.0899721697370044,0.7374554607482262,7.242658481761152,13.350115616373527,1.299794235311194,44.145380578058656,0.11844074988072356,0.051831986762537516,0.03207403889156836,0.9097762307041399,0.07210859882854923,0.420032853223694,0.420032853223694,0.05619911634898599
Bank (Money Center),621,0.13966549019607843,NA,NA,0.19221418038942642,0.3878457299023172,0.7970332484692695,0.09131059848759529,0.23784037636515615,0.0612,0.7260594506571556,0.05824204765124272,0,NA,NA,NA,0.9035318100897214,15.369409408303067,NA,NA,NA,NA,0.11993770657008117,0.3829230402791724,0.38292304027917234,NA
Banks (Regional),849,0.07051658402203857,NA,NA,0.1906673120451636,0.3258114737086947,0.5570410856784398,0.07760704599223892,0.27469873140890805,0.0612,0.6935380678985263,0.055523624610549965,0,NA,NA,NA,0.7802285980334723,16.319062069258603,NA,NA,NA,NA,0.0759558097766404,0.3989672179876748,0.39896721798767487,NA
Beverage (Alcoholic),216,0.08466418994413406,0.22475441046323,0.15898286131530992,0.249070921933466,0.7823142345759401,0.863513239856649,0.09510660599581466,0.3215969919679286,0.0657,0.19010886786225525,0.08636613293188058,0.8483484379616044,2.9382465622400087,10.864403573135078,12.947360370099922,2.3889454445917453,37.11917758108955,0.10033319989160408,0.049327755412571755,0.014771796284374744,0.14851681898506583,0.12953690994733089,0.5855987152395606,0.5855987152395606,0.22401121282496458
Beverage (Soft),101,0.07284174603174602,0.17273825570109677,0.26466406261132963,0.21237668954286396,0.5241587026085254,0.5726263697379518,0.07849696571203704,0.34852094064678985,0.0657,0.15617531459487424,0.07391064244390748,1.7731795673077668,3.373147103839262,15.971324202788859,19.414654477752674,6.063945382915313,27.394975805455502,-0.06627915354555267,0.0554615216199334,0.034472421066757616,0.32446840970412993,0.2634297115325893,0.6447133405942478,0.6447133405942478,0.17363889123785076
Broadcasting,126,0.015663523809523815,0.10026649034327256,0.09118766396956975,0.24870391104560474,0.6993806615357511,1.0043908188810557,0.10315071575810827,0.39297438939225027,0.0657,0.45516247895507844,0.07856272223346036,1.0683894088183026,1.195970558927447,7.433634052954371,11.248085810490112,0.86208534748094,81.55491545622783,0.14311964500119906,0.033601495740461944,-0.009709643177491172,1.4386473146249832,-0.017943670483959652,0.006020596913157564,0.006020596913157594,0.10006439131743146
Brokerage & Investment Banking,606,0.19713917721518975,NA,NA,0.19425314029367832,0.40657974968199745,0.9085137997254473,0.09767613796432303,0.3888889230372778,0.0657,0.6840020842845964,0.06447079305371727,0,NA,NA,NA,1.4657788628543078,101.58408036324856,NA,NA,NA,NA,0.08857741865491958,0.5211426415210836,0.5211426415210836,NA
Building Materials,462,0.047801337047353745,0.10550739754850814,0.15629327131409368,0.22959364703573754,0.9350007143209421,1.026465291452767,0.104411168141953,0.31754053539247207,0.0657,0.17989724912380414,0.09446632081759979,1.9021251075734757,1.7897276422263575,11.907869725109522,16.651118535377062,2.699566318943797,30.110179863252046,0.1697084197726317,0.04376842028037473,0.06658985193129285,0.7908258650170241,0.13491464933049338,0.35065128367847975,0.35065128367847975,0.10782324738340433
Business & Consumer Services,974,0.07707627421758571,0.09782001262025221,0.21417691014080062,0.2313474456877,0.9464981920403315,1.015539693366137,0.10378731649120641,0.3882079654892777,0.0657,0.14718679969998058,0.09574254870260464,2.798586592052117,2.23415846039558,15.979569702346412,22.03324091886064,4.726306782097976,50.16027132363976,0.11117210612160035,0.02553366038165102,0.005623853132169171,0.15404640571695835,0.15996585353877668,0.4692857395395101,0.46928573953951,0.09940853263234993
Cable TV,45,0.041268780487804885,0.17152961199324118,0.12395246866735661,0.25041302283655165,0.5924148760482556,1.0687515972057318,0.10682571620044728,0.38950232042602995,0.0657,0.5361764713513466,0.07589087731717956,0.8254008116150726,2.3017811696776587,7.277108228464824,13.502588554663282,1.4440953280626694,63.46161450340903,0.02333817089107924,0.12840740382377908,-0.0038141169095833056,0.046504520896977826,0.11186832855618259,0.3866046296201087,0.38660462962010866,0.16884225115837503
Chemical (Basic),897,0.07855856940509917,0.043643418482694665,0.04211770219853005,0.19032896528430887,0.9059036350600613,1.1492820149889402,0.1114240030558685,0.34088887374809757,0.0657,0.3553919782186683,0.0892853775589936,1.1559379942651005,1.1972259407228243,10.877089343936419,25.707501671760706,1.21261882745677,58.86034971850286,0.12904778151210078,0.0912596450828845,0.05736830214870226,0.9781431058356577,0.030176306306210342,1.6512525361502586,1.6512525361502586,0.044803981992907076
Chemical (Diversified),64,0.06524965517241378,0.05433113453313254,0.047486814943558296,0.31321076583748,0.8411297915277633,1.1400490925634852,0.11089680318537501,0.28122766558418827,0.0612,0.39462038216250384,0.08519460818476692,1.1517164786342886,1.008635885119825,8.419175610610855,17.4638224450494,1.1109210276463266,29.17400284822903,0.19455144732873944,0.08139884706744789,0.037391688830966364,0.876094324062263,0.016669653664093967,2.91800997226874,2.91800997226874,0.05571765473258092
Chemical (Specialty),951,0.08490807635829667,0.10567135821074822,0.0962744977475017,0.2302263226325249,0.9490060613608508,1.0488139972344594,0.10568727924208762,0.3728389893824859,0.0657,0.19388773722892033,0.0947216055343742,1.1280818260629875,2.2179806855203226,12.545314456391363,20.102124642214093,2.133892680679617,42.71396167385844,0.18536199182641627,0.09045717953537039,0.049438736103891566,0.628467071190249,0.0745476913837322,0.6725754191183008,0.6725754191183008,0.10690822933918473
Coal & Related Energy,216,0.07463082568807337,0.20749330061841298,0.24085864121433487,0.21027079935349902,1.243741763005687,1.196210664496575,0.11410362894275444,0.5561230830367363,0.0682,0.16049759891512955,0.10397564159470712,1.3211596897978948,1.6107026774646396,5.3519535082121825,7.383142622596054,1.5023583544911636,38.39765112908485,-0.027227901279599405,0.11453327004675845,0.06904727980142891,0.6377768936209977,0.17139697152965847,0.7985503298587916,0.7985503298587916,0.20788174483635727
Computer Services,1182,0.09158469104665821,0.07176513248621288,0.20377160576210954,0.22494048259484503,1.047759546162209,1.09258003723948,0.1081863201263743,0.3945424528093295,0.0657,0.12910175825900239,0.10056210474856167,3.8438543424357055,1.5137031692330656,15.245954362476072,20.35127542737932,4.02096966323875,59.67930916295105,0.15935117887976563,0.015571470094428969,0.018251439665462266,0.3269483288175687,0.1444388114563661,0.5565590976688113,0.5565590976688113,0.07327265681195216
Computers/Peripherals,342,0.034963609022556415,0.1306287413941654,0.20415937267651255,0.19680016648684778,1.2452856029038846,1.26185646056331,0.117852003898165,0.41480392467646005,0.0657,0.061860212296684716,0.11360087460326858,2.4658781226112927,3.3510269146523033,19.044383449948704,25.458165307974447,7.576169353743152,92.11097730140658,0.0297718030280104,0.048325901214352485,0.03619219738413128,0.34307128387551117,0.2640323130303963,0.2542750995466337,0.25427509954663363,0.13536126174578905
Construction Supplies,804,0.09304889763779531,0.09459114752576649,0.0972904990816261,0.23089860732564285,0.8467977037752572,0.9781792891945789,0.10165403741301045,0.3521565297169424,0.0657,0.2723704493170634,0.08734816703328924,1.299415119166942,1.4443804605364166,10.268126391930863,14.965943010321554,1.6552858516841096,69.54793621474097,0.16694497876572217,0.05215018349353288,0.0319584978533755,0.5418601669369973,0.1018600199160753,0.44686899740976965,0.4468689974097697,0.09637021234678882
